id_artista,Artista
0,"Latto, Jung Kook"
1,Myke Towers
2,Olivia Rodrigo
3,Taylor Swift
4,Bad Bunny
5,"Dave, Central Cee"
6,"Eslabon Armado, Peso Pluma"
7,Quevedo
8,Gunna
9,"Peso Pluma, Yng Lvcas"
10,"Bad Bunny, Grupo Frontera"
11,NewJeans
12,Miley Cyrus
13,David Kushner
14,Harry Styles
15,SZA
16,Fifty Fifty
17,Billie Eilish
18,"Feid, Young Miko"
19,Jimin
20,"Gabito Ballesteros, Junior H, Peso Pluma"
21,Arctic Monkeys
22,"Bizarrap, Peso Pluma"
23,"The Weeknd, Madonna, Playboi Carti"
24,Fuerza Regida
25,"Rï¿½ï¿½ma, Selena G"
26,"Tainy, Bad Bunny"
27,Morgan Wallen
28,Dua Lipa
29,Troye Sivan
30,"Peso Pluma, Grupo Frontera"
31,"The Weeknd, 21 Savage, Metro Boomin"
32,"Karol G, Shakira"
33,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk"
34,"Yahritza Y Su Esencia, Grupo Frontera"
35,"Junior H, Peso Pluma"
36,"Post Malone, Swae Lee"
37,"Bebe Rexha, David Guetta"
38,"Tyler, The Creator, Kali Uchis"
39,"Nicki Minaj, Aqua, Ice Spice"
40,OneRepublic
41,The Weeknd
42,"The Weeknd, Daft Punk"
43,"Ariana Grande, The Weeknd"
44,"Feid, Myke Towers, Sky Rompiendo"
45,"David Guetta, Anne-Marie, Coi Leray"
46,Karol G
47,Peggy Gou
48,Tom Odell
49,Kali Uchis
50,Manuel Turizo
51,"dennis, MC Kevin o Chris"
52,"PinkPantheress, Ice Spice"
53,"Charlie Puth, BTS, Jung Kook"
54,"Rauw Alejandro, ROSALï¿½"
55,"Ozuna, Feid"
56,Chris Molitor
57,Libianca
58,Post Malone
59,"Rauw Alejandro, Bizarrap"
60,Glass Animals
61,JVKE
62,The Neighbourhood
63,"Bizarrap, Quevedo"
64,Coldplay
65,d4vd
66,"Sam Smith, Kim Petras"
67,"Yandel, Feid"
68,Maria Becerra
69,Vance Joy
70,"Em Beihold, Stephen Sanchez"
71,"Mc Livinho, DJ Matt D"
72,"Justin Bieber, The Kid Laroi"
73,"Marshmello, Manuel Turizo"
74,Lewis Capaldi
75,"Chencho Corleone, Bad Bunny"
76,Jain
77,"Ayparia, unxbected"
78,Luke Combs
79,Doechii
80,"Bad Bunny, Eladio Carrion"
81,Jung Kook
82,"J. Cole, Lil Durk"
83,Lana Del Rey
84,BTS
85,"Future, Metro Boomin, Don Toliver"
86,Eminem
87,Carin Leon
88,"Dua Lipa, Elton John, Pnau"
89,Ruth B.
90,Imagine Dragons
91,Adele
92,"Kendrick Lamar, Jay Rock"
93,Anggi Marito
94,"Jasiel Nuï¿½ï¿½ez, Peso P"
95,Tears For Fears
96,J. Cole
97,Loreen
98,"Taiu, Milo j"
99,"Sebastian Yatra, Manuel Turizo, Beï¿½ï"
100,"Calvin Harris, Ellie Goulding"
101,Sabrina Carpenter
102,"Carin Leon, Grupo Frontera"
103,Peso Pluma
104,Feid
105,"Ray Dalton, Ryan Lewis, Macklemore"
106,"Billie Eilish, Khalid"
107,(G)I-DLE
108,"Shakira, Bizarrap"
109,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV"
110,"Travis Scott, Young Thug, Metro Boomin"
111,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain"
112,Ed Sheeran
113,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax"
114,"Mc Pedrinho, DJ 900"
115,"Sog, Ryan Castro, Peso Pluma"
116,"The Weeknd, Lana Del Rey"
117,"Bomba Estï¿½ï¿½reo, Bad B"
118,Keane
119,New West
120,Chino Pacas
121,Natanael Cano
122,"Don Omar, Lucenzo"
123,"Ana Castela, AgroPlay"
124,Bruno Mars
125,"Big One, FMK, Ke personajes"
126,"Drake, 21 Savage"
127,Justin Bieber
128,Chris Brown
129,"Natanael Cano, Peso Pluma"
130,Daddy Yankee
131,"Drake, WizKid, Kyla"
132,Miguel
133,The Police
134,Lord Huron
135,"Rihanna, Calvin Harris"
136,Alec Benjamin
137,"A$AP Rocky, Metro Boomin, Roisee"
138,YOASOBI
139,Rosa Linn
140,One Direction
141,"Oscar Maydon, Junior H"
142,Radiohead
143,James Arthur
144,Cigarettes After Sex
145,Shubh
146,Frank Ocean
147,Hozier
148,"Fuerza Regida, Grupo Frontera"
149,Hotel Ugly
150,Creedence Clearwater Revival
151,Plan B
152,"Feid, Mora, Saiko, Quevedo"
153,a-ha
154,"Swae Lee, Lil Wayne, Offset, Metro Boomin"
155,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin"
156,Shakira
157,"Natanael Cano, Gabito Ballesteros, Peso Pluma"
158,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya"
159,Stray Kids
160,"Becky G, Peso Pluma"
161,"Metro Boomin, Coi Leray"
162,"Kaliii, Kaliii"
163,"Junior H, Eden Muï¿½ï"
164,"Abhijay Sharma, Riar Saab"
165,"Semicenk, Doï¿½ï¿½u "
166,JISOO
167,"Future, Lil Uzi Vert, Metro Boomin"
168,"RAYE, 070 Shake"
169,"Arcangel, Bad Bunny"
170,"Taylor Swift, Ice Spice"
171,"Future, Chris Brown, Metro Boomin"
172,"BLESSD, Peso Pluma"
173,"Fuerza Regida, Natanael Cano"
174,"Lana Del Rey, Taylor Swift"
175,Coi Leray
176,ENHYPEN
177,"Lil Durk, Morgan Wallen"
178,"James Blake, Metro Boomin"
179,"Israel & Rodolffo, Mari Fernandez"
180,Steve Lacy
181,Beyoncï¿
182,"Halsey, Suga"
183,"Nicky Jam, Feid"
184,"Sean Paul, Feid"
185,Drake
186,"Kendrick Lamar, Beyoncï¿"
187,"WizKid, Toian, Metro Boomin, Don Toliver, Beam"
188,Simone Mendes
189,Tini
190,Lil Uzi Vert
191,Sia
192,Stephen Sanchez
193,"MC Caverinha, KayBlack"
194,"Offset, JID"
195,Zï¿½ï¿½ Neto & Crist
196,"Migrantes, LiL CaKe, Nico Valdi"
197,Tory Lanez
198,Joji
199,"Mambo Kingz, DJ Luian, Anuel Aa"
200,"Nile Rodgers, LE SSERAFIM"
201,Agust D
202,"Rich The Kid, Matuï¿"
203,Labrinth
204,"Karol G, Romeo Santos"
205,Lizzy McAlpine
206,IVE
207,sped up 8282
208,"Cartel De Santa, La Kelly"
209,SEVENTEEN
210,NLE Choppa
211,"The Weeknd, Future"
212,"Nicki Minaj, Ice Spice"
213,"Grupo Marca Registrada, Grupo Frontera"
214,"Fuerza Regida, Peso Pluma"
215,"TAEYANG, Lisa"
216,Raim Laode
217,ROSALï¿½
218,Meghan Trainor
219,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert"
220,Grupo Frontera
221,TV Girl
222,INTERWORLD
223,"Quevedo, Jhayco"
224,"El Chachito, Junior H"
225,"The Weeknd, Gesaffelstein"
226,"RM, Colde"
227,BLACKPINK
228,"Nengo Flow, Bad Bunny"
229,"Nicky Youre, Dazy"
230,"Eminem, Dina Rae"
231,"IU, Agust D"
232,"Arcangel, Bizarrap"
233,"Tyler, The Creator"
234,"Tiï¿½ï¿½sto, Tate M"
235,NF
236,Yng Lvcas
237,"Kanii, PR1ISVX"
238,Marï¿½ï¿½lia Mendo
239,Zach Bryan
240,Melanie Martinez
241,"Fuerza Regida, Chino Pacas"
242,Mae Stephens
243,"Feid, Mora"
244,Kenia OS
245,Kordhell
246,"Coolio, L.V."
247,"Karol G, Ovy On The Drums"
248,The Walters
249,Mac DeMarco
250,Jack Black
251,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile"
252,"Brray, Rauw Alejandro, Lyanno"
253,Linkin Park
254,"Gorillaz, Bad Bunny"
255,"j-hope, J. Cole"
256,"Robin Schulz, Oliver Tree"
257,"Don Toliver, Future, Justin Bieber"
258,Niall Horan
259,Central Cee
260,Mahalini
261,"Arijit Singh, Sachin-Jigar"
262,ThxSoMch
263,"Myke Towers, Quevedo"
264,"Morgan Wallen, Eric Church"
265,Nicki Minaj
266,Kaifi Khalil
267,"Karol G, Quevedo"
268,Lady Gaga
269,"Ozuna, Shakira"
270,Leo Santana
271,Treyce
272,"Post Malone, Doja Cat"
273,"MC Xenon, Os Gemeos da Putaria"
274,"Imagine Dragons, League of Legends, JID, Arcane"
275,XXXTENTACION
276,"Israel & Rodolffo, Ana Castela"
277,"J Balvin, Bad Bunny"
278,"Yuridia, Angela Aguilar"
279,The Kid Laroi
280,Lizzo
281,Fujii Kaze
282,"Wisin & Yandel, ROSALï¿½"
283,King
284,"Coldplay, BTS"
285,"Sam Smith, Calvin Harris, Jessie Reyez"
286,P!nk
287,LE SSERAFIM
288,PinkPantheress
289,"TAEYANG, Jimin"
290,Rihanna
291,Lil Nas X
292,Beach Weather
293,"Halsey, BTS"
294,Baby Tate
295,Rï¿½ï
296,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar"
297,Beach House
298,"BTS, Jung Kook, FIFA Sound"
299,"Shakira, Rauw Alejandro"
300,"Steve Aoki, Tini, La Joaqui"
301,Sam Smith
302,Conan Gray
303,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani"
304,"Calvin Harris, Dua Lipa"
305,TOMORROW X TOGETHER
306,"Drake, Future, Tems"
307,Mr.Kitty
308,"Gustavo Mioto, Mari Fernandez"
309,"Jack Harlow, Lil Nas X"
310,Elley Duhï¿
311,Seafret
312,"Baby Rasta, Rauw Alejandro"
313,"DJ Escobar, MC MENOR SG, MC MENOR HR"
314,Dean Lewis
315,Bellakath
316,"Skrillex, Flowdan, Fred again.."
317,"Travis Scott, 21 Savage, Metro Boomin"
318,Kate Bush
319,Aerosmith
320,Freddie Dredd
321,"Lost Frequencies, Calum Scott"
322,"Twisted, Oliver Tree"
323,Kenshi Yonezu
324,Omar Apollo
325,"Dua Lipa, DaBaby"
326,Doja Cat
327,"James Hype, Miggy Dela Rosa"
328,"Pritam, Arijit Singh, Amitabh Bhattacharya"
329,"Styrx, utku INC, Thezth"
330,"Maroon 5, Wiz Khalifa"
331,Mariah Carey
332,Wham!
333,Brenda Lee
334,Bobby Helms
335,Michael Bublï¿
336,Ariana Grande
337,Andy Williams
338,Dean Martin
339,Kelly Clarkson
340,Josï¿½ï¿½ Felic
341,The Ronettes
342,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono"
343,"SZA, Don Toliver"
344,Burl Ives
345,Nat King Cole
346,Paul McCartney
347,Band Aid
348,"SZA, Phoebe Bridgers"
349,"Frank Sinatra, B. Swanson Quartet"
350,"SZA, Travis Scott"
351,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers"
352,Chris Rea
353,Darlene Love
354,"Ed Sheeran, Elton John"
355,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra"
356,Britney Spears
357,"Mabel Matiz, Mert Demir"
358,RM
359,"Travis Scott, Metro Boomin"
360,"Taylor Swift, Lana Del Rey"
361,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M"
362,"Bad Bunny, Jhay Cortez"
363,"Gwen Stefani, Blake Shelton"
364,"Chencho Corleone, Rauw Alejandro"
365,"Bad Bunny, Rauw Alejandro"
366,Chuck Berry
367,Frank Sinatra
368,"John Legend, Metro Boomin"
369,"Maldy, Karol G"
370,Gayle
371,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith"
372,"Cherish, ACRAZE"
373,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan"
374,Farruko
375,Jaymes Young
376,"The Weeknd, Tyler, The Creator"
377,"SZA, Doja Cat"
378,"The Weeknd, Lil Wayne"
379,Ckay
380,Jessica Darrow
381,"The Weeknd, Post Malone"
382,Mï¿½ï¿½ne
383,"Aitana, zzoilo"
384,"Julieta Venegas, Bad Bunny, Tainy"
385,Lisa
386,"Tiï¿½ï¿½sto, Ava"
387,"The Weeknd, Swedish House Mafia"
388,"Juan Cruz Toledo, Huilen Toledo"
389,BoyWithUke
390,"Xamï¿½ï¿½, Gustah, Neo B"
391,"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE"
392,Emmy Meli
393,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL"
394,Shawn Mendes
395,Kodak Black
396,"Aventura, Bad Bunny"
397,Rauw Alejandro
398,"Bruno Mars, Anderson .Paak, Silk Sonic"
399,"THE ANXIETY, Willow, Tyler Cole"
400,Sebastian Yatra
401,"Justin Bieber, Daniel Caesar, Giveon"
402,"Bizarrap, Tiago pzk"
403,Stromae
404,"Chris Brown, Rvssian, Rauw Alejandro"
405,"NEIKED, Mae Muller, Polo G"
406,Oliver Tree
407,"Kali Uchis, Amaarae, Moliy"
408,"Young Thug, Future, Gunna"
409,"Doja Cat, The Weeknd"
410,Jnr Choi
411,"Trueno, Tiago pzk"
412,"Sech, Bad Bunny, Mora"
413,"Drake, Project Pat, 21 Savage"
414,"Tiï¿½ï¿½sto, Kar"
415,Edison Lighthouse
416,"The Weeknd, ROSALï¿½"
417,"Olga Merediz, Stephanie Beatriz, Encanto - Cast"
418,Surf Curse
419,Jason Derulo
420,"21 Savage, Gunna"
421,"24kgoldn, Iann Dior"
422,"Stephanie Beatriz, Diane Guerrero"
423,Trueno
424,Kanye West
425,Playboi Carti
426,Maluma
427,"Ed Sheeran, Fireboy DML"
428,"Prezioso, Gabry Ponte, LUM!X"
429,Tiï¿½ï¿
430,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &"
431,TWICE
432,Giveon
433,"Sean Paul, Dua Lipa"
434,"Charli XCX, Jax Jones, Joel Corry, Saweetie"
435,SALES
436,Sleepy hallow
437,Masked Wolf
438,"Anuel Aa, Jhay Cortez"
439,NIKI
440,Tate McRae
441,Avicii
442,"Drake, Future, Young Thug"
443,"Imagine Dragons, League of Legends, Arcane"
444,Tones and I
445,Juice WRLD
446,"J Balvin, Maria Becerra"
447,John Legend
448,Nirvana
449,Duncan Laurence
450,"Drake, Travis Scott"
451,"Tini, L-Gante"
452,SiM
453,"Kendrick Lamar, Baby Keem"
454,The Killers
455,"J Balvin, Nio Garcia, Bad Bunny"
456,"Lady Gaga, Bradley Cooper"
457,"Marshmello, Jonas Brothers"
458,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine"
459,Polo G
460,"Eminem, Nate Dogg"
461,Maroon 5
462,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music"
463,"Gunna, Lil Baby"
464,"Katy Perry, Alesso"
465,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &"
466,"Tini, Maria Becerra"
467,"Anuel Aa, Myke Towers, Jhay Cortez"
468,"Karol G, Becky G"
469,"Dr. Dre, Snoop Dogg"
470,Dove Cameron
471,"Ed Sheeran, Taylor Swift"
472,Charlie Puth
473,"Kanye West, Alicia Keys, Fivio Foreign"
474,"Mahmood, Blanco"
475,50 Cent
476,Yung Lean
477,"Labrinth, Zendaya"
478,The Rare Occasions
479,"Intense, AP Dhillon, Gurinder Gill"
480,"Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi"
481,"Dr. Dre, 2Pac, Roger"
482,"Eminem, Dr. Dre"
483,"Luude, Colin Hay"
484,Ryan Castro
485,Kendrick Lamar
486,"Eminem, Dido"
487,"GODZZ__-, Zakaria"
488,Chase Atlantic
489,Em Beihold
490,"Mainstreet, Chefin"
491,"Alvaro Diaz, Rauw Alejandro"
492,"Nicki Minaj, Lil Baby"
493,Future
494,Zï¿½ï¿½ Fe
495,Muni Long
496,Vundabar
497,V
498,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G"
499,"Shawn Mendes, Camila Cabello"
500,"Daddy Yankee, Bad Bunny"
501,"Dua Lipa, Megan Thee Stallion"
502,"Camila Cabello, Ed Sheeran"
503,Cris Mj
504,Anitta
505,Dave
506,Tulus
507,"Mc Pedrinho, Pedro Sampaio"
508,Zion & Lennox
509,"Residente, Bizarrap"
510,Jack Harlow
511,Eden Muï¿½ï
512,Treasure
513,Christian Nodal
514,"Kevin Gates, Juicy J"
515,"Tyga, Doja Cat"
516,Queen
517,YEAT
518,C. Tangana
519,"The Chainsmokers, Coldplay"
520,"The Chainsmokers, Halsey"
521,NMIXX
522,"Gotye, Kimbra"
523,"AnnenMayKantereit, Giant Rooks"
524,Paulo Londra
525,Danny Ocean
526,Lil Tjay
527,Willow
528,"Feid, Alejo, Robi"
529,Demi Lovato
530,"Camila Cabello, Willow"
531,"Matuï¿½ï¿½, Wiu, "
532,"De La Ghetto, Duki, Quevedo"
533,Lil Baby
534,"Ak4:20, Cris Mj, Pailita"
535,Yahritza Y Su Esencia
536,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K"
537,"Ed Sheeran, J Balvin"
538,teto
539,"Blackbear, BoyWithUke"
540,"Pharrell Williams, Nile Rodgers, Daft Punk"
541,BIGBANG
542,"Kendrick Lamar, Blxst, Amanda Reifer"
543,"Kendrick Lamar, Sampha"
544,"Post Malone, Roddy Ricch"
545,"Kendrick Lamar, Kodak Black"
546,"Tony Dize, Bad Bunny"
547,"Buscabulla, Bad Bunny"
548,"Kendrick Lamar, Taylour Paige"
549,"Kendrick Lamar, Sam Dew, Baby Keem"
550,"Bad Bunny, The Marï¿½ï"
551,"Kendrick Lamar, Ghostface Killah, Summer Walker"
552,"Polima WestCoast, Pailita"
553,"Bad Bunny, Tainy"
554,Panic! At The Disco
555,"Kendrick Lamar, Tanna Leone"
556,"PSY, Suga"
557,Benson Boone
558,KALUSH
559,Luciano
560,"Bizarrap, Paulo Londra"
561,"Shae Gill, Ali Sethi"
562,"Kendrick Lamar, Beth Gibbons"
563,"Sech, Mora"
564,"MNEK, Jax Jones"
565,"Ugly Dray, Tesla Jnr"
566,"Justin Bieber, Don Toliver"
567,Jessi
568,Chanel
569,Leah Kate
570,Sam Ryder
571,"HA SUNG WOON, Jimin"
572,The Goo Goo Dolls
573,Kevin Kaarl
574,Suki Waterhouse
575,Lauren Spencer Smith
576,"Pharrell Williams, Tyler, The Creator, 21 Savage"
577,"Calvin Harris, Dua Lipa, Young Thug"
578,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone"
579,"Kanye West, XXXTENTACION"
580,Musical Youth
581,"Bizarrap, Villano Antillano"
582,Halsey
583,"BYOR, Imanbek"
584,"Sleepy hallow, 347aidan"
585,Paloma Faith
586,"Marshmello, Khalid"
587,"Ozuna, Tiago pzk"
588,Childish Gambino
589,"David Guetta, Ella Henderson, Becky Hill"
590,Duki
591,Sidhu Moose Wala
592,Keisya Levronka
593,Victor Cibrian
594,Metallica
595,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita"
596,Yung Gravy
597,Lasso
598,Nayeon
599,"Schï¿½ï¿½rze, DJ R"
600,j-hope
601,Burna Boy
602,"Kanye West, Lil Durk, Cardi B"
603,"L7nnon, DJ Biel do Furduncinho, Bianca"
604,"Anitta, Tini, Becky G"
605,Nessa Barrett
606,LF System
607,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win"
608,Rels B
609,"Snoop Dogg, BTS, Benny Blanco"
610,"Drake, DJ Khaled, Lil Baby"
611,Luar La L
612,Ghost
613,Rex Orange County
614,Sofia Carson
615,"Grupo Marca Registrada, Junior H"
616,"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake"
617,"Peso Pluma, Luis R Conriquez"
618,"Luis R Conriquez, La Adictiva"
619,"David Guetta, Shakira, Black Eyed Peas"
620,"Melody, Ana Castela, Dj Chris No Beat"
621,"Elton John, Britney Spears"
622,"Interplanetary Criminal, Eliza Rose"
623,Armani White
624,Oxlade
625,PnB Rock
626,"Ovy On The Drums, Quevedo"
627,Lil Yachty
628,"Marshmello, Juice WRLD"
629,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla"
630,Southstar
631,girl in red
632,"Rosa Walton, Hallie Coggins"
633,"Luciano, Aitch, Bï¿½"
634,"MC Ryan SP, Love Funk, Mc Paiva ZS"
635,"Drake, Travis Scott, 21 Savage"
636,"Ludwig Goransson, Foudeqush"
637,Jin
638,Selena Gomez
639,"Feid, Paulo Londra"
640,"Feid, Sech, Jhayco"
id_artista,artista
